NUTS1 Region,LA code,LA name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
East of England,E07000066,Basildon,3.2,-1.3,-10.0,5.5,2.4,0.6,3.6,5.5,-4.4,2.2,2.3,2.9
East of England,E07000067,Braintree,0.6,-3.2,-5.6,5.6,0.6,-1.9,1.0,9.4,7.8,15.3,10.1,-6.3
East of England,E07000068,Brentwood,4.8,-4.8,-3.6,3.1,0.4,-1.3,-0.8,18.7,12.3,-1.9,4.5,5.6
East of England,E07000069,Castle Point,1.2,-3.0,-3.8,5.3,0.6,2.7,-0.4,4.5,4.3,-2.1,5.9,-2.7
East of England,E07000070,Chelmsford,0.8,-3.7,-3.0,3.0,2.0,3.2,0.0,3.1,-2.9,-3.4,2.8,5.0
East of England,E07000071,Colchester,2.3,-0.9,-3.9,6.6,3.3,1.7,0.3,2.3,7.4,-1.1,4.4,1.2
East of England,E07000072,Epping Forest,2.3,-2.5,-1.7,5.2,0.8,-6.5,-0.1,1.1,6.9,15.3,4.3,1.9
East of England,E07000073,Harlow,-1.1,-5.4,-14.2,4.5,-6.9,6.1,1.1,-0.1,0.5,-0.3,10.4,-1.8
East of England,E07000074,Maldon,0.2,-2.2,-5.5,9.7,-2.8,1.3,1.3,-1.6,1.2,1.2,7.5,-1.5
East of England,E07000075,Rochford,0.3,-2.6,-4.9,6.8,2.3,1.2,3.0,6.6,-0.7,5.5,-0.1,-2.4
East of England,E07000076,Tendring,0.5,-3.7,-5.4,4.5,3.2,12.5,19.6,-5.9,0.3,7.6,19.6,-1.0
East of England,E07000077,Uttlesford,0.6,-1.5,-3.8,4.2,4.3,6.7,2.1,-1.0,5.6,-2.2,0.5,2.7
East of England,E07000095,Broxbourne,3.6,3.0,-4.5,-3.0,-2.5,2.9,9.7,7.6,-4.2,-11.8,-0.9,1.8
East of England,E07000096,Dacorum,2.0,0.1,-7.5,1.1,3.5,2.6,-1.8,-0.1,3.6,2.7,9.0,0.5
East of England,E07000098,Hertsmere,2.2,1.9,-2.8,-1.0,0.0,2.5,8.5,0.8,8.6,8.4,6.2,1.1
East of England,E07000099,North Hertfordshire,0.8,0.0,-5.1,2.8,1.3,-1.0,4.6,-1.7,3.8,2.6,8.2,-0.1
East of England,E07000102,Three Rivers,1.3,-0.7,-5.8,4.1,3.2,-4.5,9.8,11.4,4.6,13.3,6.1,9.2
East of England,E07000103,Watford,5.5,0.4,-6.8,0.5,4.3,9.3,8.4,6.0,6.1,7.2,7.4,-1.2
East of England,E07000143,Breckland,-1.1,-0.7,-1.0,1.7,2.7,-3.1,4.8,6.9,5.8,-3.1,5.1,-6.7
East of England,E07000144,Broadland,1.2,1.5,2.2,-2.0,0.3,2.2,3.5,2.2,5.3,9.5,4.7,0.1
East of England,E07000145,Great Yarmouth,1.2,1.0,-4.5,2.6,3.7,6.6,2.0,2.5,-3.6,-8.6,-4.9,1.0
East of England,E07000146,King's Lynn and West Norfolk,1.0,-0.4,-2.6,5.0,3.6,4.7,7.6,0.0,0.9,1.7,0.2,-0.8
East of England,E07000147,North Norfolk,-0.8,-0.1,-2.7,3.5,3.2,-0.7,-1.5,4.9,-1.0,2.9,1.7,-0.1
East of England,E07000148,Norwich,0.1,-2.1,-4.1,1.9,3.3,1.7,7.7,0.1,0.5,-0.1,3.2,3.1
East of England,E07000149,South Norfolk,-0.4,-2.7,-4.4,4.5,4.6,3.3,-3.8,6.5,-2.4,0.1,1.1,1.3
East of England,E07000200,Babergh,0.4,-1.3,-5.2,5.1,3.1,-1.7,2.6,3.1,-3.6,2.6,1.1,1.9
East of England,E07000202,Ipswich,-5.0,-3.4,-9.7,2.2,4.5,-3.5,10.3,2.0,6.6,3.9,-2.1,2.1
East of England,E07000203,Mid Suffolk,-5.9,0.6,-4.9,7.6,11.3,0.3,-4.9,2.5,-4.7,-6.5,8.1,-1.0
East of England,E07000240,St Albans,14.6,1.0,-3.0,1.9,-2.0,12.5,14.3,7.8,2.4,-24.2,0.6,0.8
East of England,E07000241,Welwyn Hatfield,-0.3,-2.0,-7.9,-1.3,-7.3,3.8,9.7,3.3,0.9,1.6,11.3,3.6
East of England,E07000242,East Hertfordshire,3.4,4.0,-3.4,-6.8,-6.8,-8.0,1.0,4.8,1.6,8.9,1.7,4.5
East of England,E07000243,Stevenage,0.0,-1.9,-7.0,-1.9,-6.2,3.7,5.3,3.1,2.1,-5.6,3.9,-0.2
East of England,E07000244,East Suffolk,0.4,-2.9,-4.4,4.1,2.5,0.1,1.6,0.4,-2.3,-2.3,2.9,-0.3
East of England,E07000245,West Suffolk,0.1,-0.2,-4.0,3.3,2.7,1.5,1.9,-0.9,2.2,5.1,0.7,0.0
London,E09000001,City of London,11.8,1.3,-5.2,0.5,2.6,2.0,6.2,0.1,1.9,4.4,2.0,5.0
London,E09000002,Barking and Dagenham,3.7,-4.3,-9.1,10.4,2.6,0.0,3.7,-2.1,0.9,-5.0,-0.4,-0.2
London,E09000003,Barnet,1.6,-5.6,-2.0,0.3,2.2,10.0,-1.4,5.1,-0.3,2.1,3.8,-0.4
London,E09000004,Bexley,0.4,-3.9,-11.6,4.9,1.3,8.5,9.4,0.1,0.1,5.6,-5.2,-2.6
London,E09000005,Brent,0.8,-4.4,-2.4,5.3,2.3,-0.7,3.4,6.9,5.9,8.5,-6.4,1.2
London,E09000006,Bromley,2.0,-4.4,-8.6,3.5,0.9,3.9,-0.5,-1.2,-2.0,6.0,-0.2,4.8
London,E09000007,Camden,7.7,0.1,-5.5,3.0,6.9,5.8,6.3,8.7,11.9,12.0,2.5,2.5
London,E09000008,Croydon,3.8,-5.0,-6.3,-0.8,-1.4,-0.6,3.7,6.9,-2.1,-2.4,1.1,1.9
London,E09000009,Ealing,2.0,-3.8,-9.0,5.5,3.8,1.6,8.5,3.6,3.5,1.7,-2.7,-1.1
London,E09000010,Enfield,3.7,-3.2,-9.8,6.6,2.6,0.9,4.2,2.9,1.5,1.7,-2.5,3.7
London,E09000011,Greenwich,2.0,-2.3,-17.5,21.7,-8.5,-11.7,-3.2,2.0,1.5,1.8,5.1,-0.4
London,E09000012,Hackney,5.4,0.7,-4.9,8.3,7.4,2.6,-1.6,9.9,6.6,23.0,-8.7,6.1
