LA name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Basildon,"4,597","4,780","4,411","4,772","4,885","5,051","5,521","5,883","5,746","5,908","6,146","6,452"
Braintree,"2,531","2,550","2,475","2,578","2,595","2,626","2,706","3,010","3,281","3,908","4,380","4,152"
Brentwood,"2,217","2,167","2,109","2,166","2,194","2,231","2,274","2,739","3,111","3,106","3,276","3,532"
Castle Point,944,964,912,959,980,"1,026","1,036","1,109","1,174","1,176","1,277","1,262"
Chelmsford,"4,238","4,233","4,175","4,288","4,410","4,668","4,730","4,992","4,835","4,781","5,003","5,353"
Colchester,"3,202","3,261","3,196","3,400","3,553","3,700","3,759","3,948","4,249","4,279","4,537","4,680"
Epping Forest,"3,054","3,033","3,062","3,180","3,238","3,098","3,139","3,207","3,512","4,110","4,345","4,521"
Harlow,"2,150","2,136","1,888","1,983","1,854","2,005","2,067","2,104","2,151","2,210","2,484","2,483"
Maldon,954,980,919,998,984,"1,021","1,042","1,042","1,078","1,117","1,219","1,221"
Rochford,999,"1,023",974,"1,021","1,054","1,093","1,143","1,244","1,259","1,354","1,380","1,371"
Tendring,"1,962","1,969","1,858","1,938","2,034","2,338","2,841","2,724","2,775","3,073","3,759","3,800"
Uttlesford,"1,727","1,775","1,719","1,815","1,887","2,048","2,146","2,173","2,356","2,344","2,361","2,458"
Broxbourne,"2,299","2,519","2,409","2,353","2,366","2,469","2,726","2,991","2,920","2,605","2,601","2,692"
Dacorum,"3,605","3,703","3,531","3,563","3,708","3,867","3,832","3,911","4,093","4,297","4,760","4,867"
Hertsmere,"2,878","2,998","2,975","2,891","2,953","3,165","3,499","3,642","3,835","4,321","4,639","4,771"
North Hertfordshire,"2,667","2,754","2,663","2,719","2,807","2,860","3,117","3,132","3,338","3,454","3,783","3,850"
Three Rivers,"2,803","2,858","2,780","2,865","3,059","2,918","3,217","3,653","3,852","4,386","4,851","5,328"
Watford,"3,241","3,311","3,274","3,209","3,320","3,688","4,027","4,342","4,642","5,062","5,571","5,600"
Breckland,"1,993","2,067","2,071","2,111","2,202","2,186","2,348","2,520","2,711","2,685","2,870","2,726"
Broadland,"2,266","2,460","2,572","2,600","2,598","2,618","2,770","2,845","3,123","3,426","3,746","3,771"
Great Yarmouth,"1,719","1,801","1,758","1,811","1,891","2,062","2,160","2,247","2,205","2,035","1,972","2,026"
King's Lynn and West Norfolk,"2,426","2,494","2,484","2,596","2,697","2,913","3,234","3,238","3,333","3,463","3,526","3,554"
North Norfolk,"1,407","1,456","1,416","1,466","1,518","1,559","1,573","1,665","1,678","1,773","1,843","1,866"
Norwich,"3,336","3,346","3,314","3,382","3,513","3,634","3,999","4,100","4,152","4,244","4,461","4,674"
South Norfolk,"2,319","2,345","2,289","2,381","2,482","2,656","2,563","2,758","2,732","2,819","2,897","2,988"
Babergh,"1,543","1,569","1,516","1,611","1,664","1,690","1,790","1,842","1,822","1,902","1,946","2,005"
Ipswich,"4,025","3,889","3,680","3,672","3,869","3,873","4,407","4,723","4,922","5,300","5,281","5,521"
Mid Suffolk,"1,813","1,908","1,861","1,982","2,203","2,288","2,261","2,319","2,256","2,147","2,350","2,370"
St Albans,"3,809","3,952","3,812","3,911","3,855","4,439","5,133","5,628","5,882","4,545","4,645","4,745"
